Price,Close,High,Low,Open,Volume
Ticker,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS
Date,,,,,
2025-02-06,246.4314422607422,250.79599101786755,245.58670105240742,246.8538271869266,14058587
2025-02-07,248.07400512695312,248.6371754791074,244.0849223782418,246.0090853610994,6557480
2025-02-10,243.9441375732422,249.48191732147305,241.69148480291506,248.30865768650744,8052376
2025-02-11,239.48573303222656,243.8033338944868,238.17168806824262,243.56868198505995,6819100
2025-02-12,239.90811157226562,241.03442352126226,233.76022884372065,239.48572668887243,6568833
2025-02-13,240.0489044189453,244.1318533900681,239.34494868751148,240.47128931541846,5514711
2025-02-14,235.5905303955078,242.7239545745371,232.2584702286979,240.6590061971224,5205573
2025-02-17,236.81072998046875,237.98398962729826,231.2260169259638,235.59053708336265,5899597
2025-02-18,237.2330780029297,237.98396696981493,231.6952987259307,236.7637741888784,5534272
2025-02-19,239.90811157226562,240.70593377199103,234.2295326501437,235.5905108243674,6887175
2025-02-20,242.72396850585938,243.70949518017068,237.65547809131826,238.40636715147446,8155780
2025-02-21,235.87210083007812,243.47481405748925,235.2619972759546,242.16076910125005,9845416
2025-02-24,235.5905303955078,237.93704962255472,233.47866309116563,235.8251823182125,6773845
2025-02-25,233.19708251953125,237.37388396166241,232.49312673753104,236.4352762523288,4172676
2025-02-27,229.72422790527344,234.08874785474885,227.23692330129566,233.19707343004077,7376510
2025-02-28,222.7316131591797,229.06721522192615,221.65220569602002,229.06721522192615,14066882
2025-03-03,227.52789306640625,228.68237651238536,219.64357989465313,224.32723741330892,6864635
2025-03-04,234.57684326171875,235.534227160968,221.60529181980885,226.20446398954448,7201075
2025-03-05,240.13339233398438,241.15647129738306,234.558060262594,234.558060262594,7802519
2025-03-06,248.76861572265625,249.622752245547,243.09941667258695,244.03802445896758,12828381
2025-03-07,245.2206573486328,249.4725490922036,244.03800247822443,248.693488659018,7057204
2025-03-10,241.15646362304688,249.63208980221245,240.33987952694642,245.22065090589075,8487911
2025-03-11,248.33682250976562,248.70289327641743,238.73488369020777,240.2741998063646,12306539
